"コード","会社名","旧会社名","市場","選択","取引市場","業種","資本金","単位株数","備考"
1380,"秋川牧園","","東証STD","○","東証STD","水産・農林業",714150000,100,"",""
1381,"アクシーズ","","東証STD","○","東証STD","水産・農林業",452000000,100,"",""
1382,"ホーブ","","東証STD","○","東証STD","水産・農林業",421250000,100,"",""
1383,"ベルグアース","","東証STD","○","東証STD","水産・農林業",724476000,100,"",""
1384,"ホクリヨウ","","東証STD","○","東証STD","水産・農林業",1055000000,100,"",""
1401,"エムビーエス","","東証GRT","○","東証GRT","建設業",391329000,100,"",""
1407,"ウエストホールディングス","","東証STD","○","東証STD","建設業",2020000000,100,"",""
1414,"ショーボンドホールディングス","","東証PRM","○","東証PRM","建設業",5000000000,100,"",""
1417,"ミライト・ワン","","東証PRM","○","東証PRM","建設業",7000000000,100,"",""
1418,"インターライフホールディングス","","東証STD","○","東証STD","建設業",2979460000,100,"",""
1419,"タマホーム","","東証PRM","○","東証PRM","建設業",4310000000,100,"",""
1420,"サンヨーホームズ","","東証STD","○","東証STD","建設業",5945162000,100,"",""
1429,"日本アクア","","東証PRM","○","東証PRM","建設業",1903649000,100,"",""
1430,"ファーストコーポレーション","ファーストCorp.","東証STD","○","東証STD","建設業",730429000,100,"",""
1431,"Ｌｉｂ　Ｗｏｒｋ","","東証GRT","○","東証GRT","建設業",1014773000,100,"",""
1433,"ベステラ","","東証PRM","○","東証PRM","建設業",843176000,100,"",""
1434,"ＪＥＳＣＯホールディングス","","東証STD","○","東証STD","建設業",1027723000,100,"",""
1435,"ｒｏｂｏｔ　ｈｏｍｅ","","東証STD","○","東証STD","不動産業",10000000,100,"",""
1436,"グリーンエナジー＆カンパニー","フィット","東証GRT","○","東証GRT","建設業",980201000,100,"",""
1438,"岐阜造園","","東証STD","○","東証STD","建設業",396817000,100,"",""
1439,"安江工務店（上場廃止）","","東証STD","○","東証STD","建設業",256858000,100,"",""
1443,"技研ホールディングス","","東証STD","○","東証STD","建設業",1120000000,100,"",""
1444,"ニッソウ","","東証GRT","○","東証GRT","建設業",349789000,100,"",""
1446,"キャンディル","","東証STD","○","東証STD","建設業",561787000,100,"",""
1447,"ＳＡＡＦホールディングス","ＩＴｂｏｏｋHD","東証GRT","○","東証GRT","建設業",1866314000,100,"",""
1449,"ＦＵＪＩジャパン（上場廃止）","","札証","○","札証","建設業",65424000,100,"",""
1450,"ＴＡＮＡＫＥＮ","田中建設工業","東証STD","○","東証STD","建設業",297156000,100,"",""
1451,"ＫＨＣ（上場廃止）","","東証STD","○","東証STD","建設業",477504000,100,"",""
1491,"中外鉱業","","東証STD","○","東証STD","非鉄金属",100000000,100,"",""
1501,"三井鉱山（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部,札幌,福岡","鉱業","",1000,"",""
1503,"住友石炭鉱業（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部,札幌,福岡","鉱業","",1000,"",""
1514,"住石ホールディングス","","東証STD","○","東証STD","鉱業",2501000000,100,"",""
1515,"日鉄鉱業","","東証PRM","○","東証PRM","鉱業",4176000000,100,"",""
1518,"三井松島ホールディングス","","東証PRM","○","東証PRM","鉱業",8571000000,100,"",""
1601,"帝国石油（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部,札幌,福岡","鉱業","",1000,"",""
1603,"アラビア石油（上場廃止）","","東証1部","○","東証1部,大証1部","鉱業","",100,"",""
1605,"ＩＮＰＥＸ","","東証PRM","○","東証PRM","鉱業",290809000000,100,"",""
1610,"ダイワ上場投信-東証電気機器株価指数（上場廃止）","","-","○","-","-","","","",""
1611,"ダイワ上場投信-東証輸送用機器株価指数（上場廃止）","","-","○","-","-","","","",""
1612,"ダイワ上場投信-東証銀行業株価指数（上場廃止）","","-","○","-","-","","","",""
1613,"東証電気機器株価指数連動型上場投資信託（上場廃止）","","-","○","-","-","","","",""
1614,"東証輸送用機器株価指数連動型上場投資信託（上場廃止）","","-","○","-","-","","","",""
1615,"ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信","東証銀行業株価指数連動型上場投資信託","-","○","-","-","","","",""
1616,"FTSE日本指数連動型上場投資信託（上場廃止）","","-","○","-","-","","","",""
1661,"関東天然瓦斯開発（上場廃止）","","東証1部","○","東証1部","鉱業","",1000,"",""
1662,"石油資源開発","","東証PRM","○","東証PRM","鉱業",14288000000,100,"",""
1663,"Ｋ＆Ｏエナジーグループ","","東証PRM","○","東証PRM","鉱業",8000000000,100,"",""
1701,"昭和鉱業（上場廃止）","","東証2部","○","東証2部,大証2部","鉱業","",1000,"",""
1702,"共立マテリアル（上場廃止）","","名証2部","○","名証2部","鉱業","",1000,"",""
1711,"ＳＤＳホールディングス","","東証STD","○","東証STD","建設業",1882369000,100,"",""
1712,"ダイセキ環境ソリューション（上場廃止）","","東証STD","○","東証STD","建設業",2287000000,100,"",""
1716,"第一カッター興業","","東証STD","○","東証STD","建設業",470300000,100,"",""
1717,"明豊ファシリティワークス","","東証STD","○","東証STD","サービス業",543404000,100,"",""
1718,"美樹工業","","東証STD","○","東証STD","建設業",764815000,100,"",""
1719,"安藤・間","","東証PRM","○","東証PRM","建設業",17006000000,100,"",""
1720,"東急建設","","東証PRM","○","東証PRM","建設業",16354000000,100,"",""
1721,"コムシスホールディングス","","東証PRM","○","東証PRM","建設業",10000000000,100,"",""
1723,"日本電技","","東証STD","○","東証STD","建設業",470000000,100,"",""
1724,"シンクレイヤ","","東証STD","○","東証STD","建設業",835000000,100,"",""
1726,"ビーアールホールディングス","","東証PRM","○","東証PRM","建設業",4813000000,100,"",""
1728,"ミサワホーム中国（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1729,"三光ソフラン（上場廃止）","","NasdaqJ","○","NasdaqJ","建設業","",1000,"",""
1730,"麻生フオームクリート（上場廃止）","","東証STD","○","東証STD","建設業",209200000,100,"",""
1731,"ペイントハウス（上場廃止）","","店頭","○","店頭","建設業","","","",""
1734,"北弘電社（上場廃止）","","札証","○","札証","建設業",840687000,100,"",""
1735,"伊田テクノス（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1736,"オーテック","","東証STD","○","東証STD","建設業",599400000,100,"",""
1737,"三井金属エンジニアリング（上場廃止）","","東証2部","○","東証2部","建設業","",1000,"",""
1738,"ニットー（上場廃止）","","名証MN","○","名証MN","建設業",186072000,100,"",""
1739,"メルディアＤＣ（上場廃止）","","東証GRT","○","東証GRT","建設業",100000000,100,"",""
1740,"極東工業（上場廃止）","","東証2部","○","東証2部","建設業","",1000,"",""
1741,"ミサワホームサンイン（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1742,"セコムテクノサービス（上場廃止）","","東証2部","○","東証2部","建設業","",1000,"",""
1743,"コーアツ工業（上場廃止）","","東証STD","○","東証STD","建設業",1319000000,100,"",""
1744,"キョーエイ産業（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1745,"ミサワホーム東海（上場廃止）","","名証2部","○","名証2部","建設業","",1000,"",""
1747,"ミサワホーム九州（上場廃止）","","福岡","○","福岡","建設業","",1000,"",""
1748,"ミサワホーム北日本（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1750,"カナック（上場廃止）","","大証2部","○","大証2部","建設業","",1000,"",""
1751,"日立プラントサービス（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1753,"土屋ツーバイホーム（上場廃止）","","店頭","○","店頭","建設業","","","",""
1754,"東新住建（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1755,"日本鋼管工事（上場廃止）","","東証2部","○","東証2部","建設業","",1000,"",""
1756,"和興エンジニアリング（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1757,"創建エース（上場廃止）","","東証STD","○","東証STD","建設業",10641760000,100,"",""
1758,"太洋基礎工業","","東証STD","○","東証STD","建設業",456300000,100,"",""
1759,"ジオトップ（上場廃止）","","大証2部","○","大証2部","建設業","",1000,"",""
1761,"ミサワホーム北海道（上場廃止）","","札幌","○","札幌","建設業","",1000,"",""
1762,"高松コンストラクショングループ","","東証PRM","○","東証PRM","建設業",5000000000,100,"",""
1763,"北陸ミサワホーム（上場廃止）","","店頭","○","店頭","建設業","",500,"",""
1764,"工藤建設","","東証STD","○","東証STD","建設業",867500000,100,"",""
1765,"イビデングリーンテック（上場廃止）","","名証2部","○","名証2部","建設業","","","",""
1766,"東建コーポレーション","東建Corp.","東証PRM","○","東証PRM","建設業",4800000000,100,"",""
1767,"沖ウィンテック（上場廃止）","","東証2部","○","東証2部","建設業","",1000,"",""
1768,"ソネック","","東証STD","○","東証STD","建設業",723000000,100,"",""
1770,"藤田エンジニアリング","","東証STD","○","東証STD","建設業",1029213000,100,"",""
1771,"日本乾溜工業（上場廃止）","","福証","○","福証","建設業",413675000,100,"",""
1772,"東北エンタープライズ（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1773,"ワイ・ティー・エル・コーポレーション・バーハッド","YTL","東証PRM","○","東証PRM","建設業","",1000,"",""
1774,"機動建設工業（上場廃止）","","大証2部","○","大証2部","建設業","",1000,"",""
1775,"富士古河Ｅ＆Ｃ（上場廃止）","","東証STD","○","東証STD","建設業",1970000000,100,"",""
1776,"三井住建道路","","東証STD","○","東証STD","建設業",1329000000,100,"",""
1777,"川崎設備工業（上場廃止）","","名証MN","○","名証MN","建設業",1581000000,100,"",""
1778,"古河総合設備（上場廃止）","","東証2部","○","東証2部","建設業","",1000,"",""
1779,"松本建工（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1780,"ヤマウラ","","東証PRM","○","東証PRM","建設業",2888492000,100,"",""
1781,"国土総合建設（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1782,"常磐開発（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1783,"ｆａｎｔａｓｉｓｔａ","","東証STD","○","東証STD","建設業",6633604000,100,"",""
1786,"オリエンタル白石","","東証PRM","○","東証PRM","建設業",1000000000,100,"",""
1787,"ナカボーテック","","東証STD","○","東証STD","建設業",866350000,100,"",""
1788,"三東工業社","","東証STD","○","東証STD","建設業",849500000,100,"",""
1789,"ＥＴＳHD（上場廃止）","","東証STD","○","東証STD","建設業",989669000,100,"",""
1790,"平和奥田（上場廃止）","","大証2部","○","大証2部","建設業","",1000,"",""
1792,"みらい建設グループ（上場廃止）","","東証1部","○","東証1部","建設業","",1000,"",""
1793,"大本組","","東証STD","○","東証STD","建設業",5296000000,100,"",""
1795,"マサル","","東証STD","○","東証STD","建設業",885697000,100,"",""
1796,"トヨタウッドユーホーム（上場廃止）","","東証2部","○","東証2部","建設業","",100,"",""
1797,"藤木工務店（上場廃止）","","大証2部","○","大証2部","建設業","",1000,"",""
1798,"守谷商会","","東証STD","○","東証STD","建設業",1712500000,100,"",""
1799,"第一建設工業","","東証STD","○","東証STD","建設業",3302375000,100,"",""
1800,"利根地下技術（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1801,"大成建設","","東証PRM","○","東証PRM","建設業",122742000000,100,"",""
1802,"大林組","","東証PRM","○","東証PRM","建設業",57752000000,100,"",""
1803,"清水建設","","東証PRM","○","東証PRM","建設業",74365000000,100,"",""
1804,"佐藤工業（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部","建設業","",1000,"",""
1805,"飛島建設（上場廃止）","","東証PRM","○","東証PRM","建設業",5519000000,100,"",""
1806,"フジタ（上場廃止）","","東証1部","○","東証1部,大証1部","建設業","",1000,"",""
1807,"佐藤渡辺","","東証STD","○","東証STD","建設業",1751500000,100,"",""
1808,"長谷工コーポレーション","長谷工Corp.","東証PRM","○","東証PRM","建設業",57500000000,100,"",""
1810,"松井建設","","東証STD","○","東証STD","建設業",4000000000,100,"",""
1811,"錢高組","","東証STD","○","東証STD","建設業",3695000000,100,"",""
