"コード","会社名","旧会社名","市場","選択","取引市場","業種","資本金","単位株数","備考"
2816,"ダイショー","","東証STD","○","東証STD","食料品",870000000,100,"",""
2817,"ギャバン朝岡（上場廃止）","","JASDAQ","○","店頭","食料品","",1000,"",""
2818,"ピエトロ","","東証STD","○","東証STD","食料品",1042389000,100,"",""
2819,"エバラ食品工業","","東証STD","○","東証STD","食料品",1387000000,100,"",""
2820,"やまみ","","東証STD","○","東証STD","食料品",1245724000,100,"",""
2830,"アヲハタ（上場廃止）","","東証STD","○","東証STD","食料品",915100000,100,"",""
2831,"はごろもフーズ","","東証STD","○","東証STD","食料品",1441669000,100,"",""
2871,"ニチレイ","","東証PRM","○","東証PRM","食料品",30512000000,100,"",""
2872,"セイヒョー","","東証STD","○","東証STD","食料品",415728000,100,"",""
2873,"加ト吉（上場廃止）","","東証1部","○","東証1部,大証1部","食料品","",100,"",""
2874,"横浜冷凍","","東証PRM","○","東証PRM","卸売業",14303000000,100,"",""
2875,"東洋水産","","東証PRM","○","東証PRM","食料品",18969000000,100,"",""
2876,"デルソーレ","","東証STD","○","東証STD","食料品",922939000,100,"",""
2877,"日東ベスト","","東証STD","○","東証STD","食料品",1474633000,100,"",""
2878,"赤城水産（上場廃止）","","JASDAQ","○","店頭","食料品","",1000,"",""
2879,"ニチロサンフーズ（上場廃止）","","JASDAQ","○","店頭","食料品","",1000,"",""
2882,"イートアンドホールディングス","","東証PRM","○","東証PRM","食料品",2029000000,100,"",""
2883,"大冷","","東証STD","○","東証STD","食料品",1909825000,100,"",""
2884,"ヨシムラ・フード・ホールディングス","","東証PRM","○","東証PRM","食料品",1114393000,100,"",""
2891,"オリエンタル酵母工業（上場廃止）","","東証2部","○","東証2部","食料品","",1000,"",""
2892,"日本食品化工","","東証STD","○","東証STD","食料品",1600000000,100,"",""
2893,"ローマイヤ（上場廃止）","","東証2部","○","東証2部","食料品","",1000,"",""
2894,"石井食品","","東証STD","○","東証STD","食料品",919600000,100,"",""
2897,"日清食品ホールディングス","","東証PRM","○","東証PRM","食料品",25122000000,100,"",""
2898,"ソントン食品工業（上場廃止）","","東証2部","○","東証2部","食料品","",1000,"",""
2899,"永谷園HD（上場廃止）","","東証PRM","○","東証PRM","食料品",3502000000,100,"",""
2900,"明星食品（上場廃止）","","東証2部","○","東証2部","食料品","",1000,"",""
2901,"ウェルディッシュ","石垣食品","東証STD","○","東証STD","食料品",989000000,100,"",""
2902,"太陽化学（上場廃止）","","名証MN","○","名証MN","食料品",7730000000,100,"",""
2903,"シノブフーズ","","東証STD","○","東証STD","食料品",4693000000,100,"",""
2904,"一正蒲鉾","","東証STD","○","東証STD","食料品",940000000,100,"",""
2905,"オーケー食品工業（上場廃止）","","JASDAQ","○","店頭","食料品","",1000,"",""
2906,"ホッコク（上場廃止）","","JASDAQ","○","店頭","食料品","",1000,"",""
2907,"あじかん","","東証STD","○","東証STD","食料品",1102250000,100,"",""
2908,"フジッコ","","東証PRM","○","東証PRM","食料品",6566000000,100,"",""
2909,"トオカツフーズ（上場廃止）","","JASDAQ","○","店頭","食料品","",1000,"",""
2910,"ロック・フィールド","","東証PRM","○","東証PRM","食料品",5544000000,100,"",""
2911,"旭松食品","","東証STD","○","東証STD","食料品",1617844000,100,"",""
2912,"鐘崎（上場廃止）","","JASDAQ","○","店頭","食料品","",1000,"",""
2913,"フジフーズ（上場廃止）","","JASDAQ","○","店頭","食料品","",1000,"",""
2914,"日本たばこ産業","","東証PRM","○","東証PRM","食料品",100000000000,100,"",""
2915,"ケンコーマヨネーズ","","東証PRM","○","東証PRM","食料品",5424000000,100,"",""
2916,"仙波糖化工業","","東証STD","○","東証STD","食料品",1500500000,100,"",""
2917,"大森屋","","東証STD","○","東証STD","食料品",814340000,100,"",""
2918,"わらべや日洋ホールディングス","","東証PRM","○","東証PRM","食料品",8049000000,100,"",""
2919,"マルタイ（上場廃止）","","福証","○","福証","食料品",1989630000,100,"",""
2921,"フクシマフーズ（上場廃止）","","JASDAQ","○","店頭","食料品","",1000,"",""
2922,"なとり","","東証PRM","○","東証PRM","食料品",1975125000,100,"",""
2923,"サトウ食品","","東証STD","○","東証STD","食料品",543775000,100,"",""
2924,"イフジ産業","","東証STD","○","東証STD","食料品",455000000,100,"",""
2925,"ピックルスコーポレーション（上場廃止）","","JASDAQ","○","店頭","食料品","",1000,"",""
2926,"篠崎屋","","東証STD","○","東証STD","食料品",1000000000,100,"",""
2927,"ＡＦＣ－ＨＤアムスライフサイエンス","ＡＦＣＨＤアムスライフサイエンス","東証STD","○","東証STD","食料品",2131839000,100,"",""
2928,"ＲＩＺＡＰグループ（上場廃止）","","札証Ａ","○","札証Ａ","小売業",19200000000,100,"",""
2929,"ファーマフーズ","","東証PRM","○","東証PRM","食料品",2043000000,100,"",""
2930,"北の達人コーポレーション","北の達人Corp.","東証PRM","○","東証PRM","化学",273992000,100,"",""
2931,"ユーグレナ","","東証PRM","○","東証PRM","食料品",13985000000,100,"",""
2932,"ＳＴＩフードホールディングス","","東証STD","○","東証STD","食料品",1048375000,100,"",""
2933,"紀文食品","","東証PRM","○","東証PRM","食料品",6368788000,100,"",""
2934,"ジェイフロンティア","","東証GRT","○","東証GRT","食料品",165462000,100,"",""
2935,"ピックルスホールディングス","","東証PRM","○","東証PRM","食料品",100000000,100,"",""
2936,"ベースフード","","東証GRT","○","東証GRT","食料品",1102100000,100,"",""
2937,"サンクゼール","","東証GRT","○","東証GRT","食料品",1127115000,100,"",""
2938,"オカムラ食品工業","","東証STD","○","東証STD","食料品",90000000,100,"",""
2951,"フィリップ・モリス（上場廃止）","","東証外国","○","東証外国部","食料品","",50,"",""
2953,"ペプシコ（上場廃止）","","東証外国","○","東証外国部","食料品","",50,"",""
2961,"日本調理機","","東証STD","○","東証STD","金属製品",799549000,100,"",""
2962,"テクニスコ","","東証STD","○","東証STD","金属製品",100000000,100,"",""
2970,"ＧＬＣ　ＧＲＯＵＰ","グッドライフカンパニー","東証STD","○","東証STD","不動産業",53000000,100,"",""
2974,"大英産業（上場廃止）","","福証","○","福証","不動産業",330895000,100,"",""
2975,"スター・マイカ・ホールディングス","","東証PRM","○","東証PRM","不動産業",481942000,100,"",""
2976,"日本グランデ（上場廃止）","","札証Ａ","○","札証Ａ","不動産業",182726000,100,"",""
2978,"ツクルバ","","東証GRT","○","東証GRT","不動産業",31635000,100,"",""
2980,"ＳＲＥホールディングス","","東証PRM","○","東証PRM","不動産業",4147654000,100,"",""
2981,"ランディックス","","東証GRT","○","東証GRT","不動産業",488554000,100,"",""
2982,"ＡＤワークスグループ","","東証PRM","○","東証PRM","不動産業",6232142000,100,"",""
2983,"アールプランナー","","東証GRT","○","東証GRT","不動産業",393693000,100,"",""
2984,"ヤマイチエステート","ヤマイチユニハイムエステート","東証STD","○","東証STD","不動産業",836478000,100,"",""
2986,"ＬＡホールディングス","","東証GRT","○","東証GRT","不動産業",613926000,100,"",""
2987,"タスキ（上場廃止）","","東証GRT","○","東証GRT","不動産業",2254773000,100,"",""
2991,"ランドネット","","東証STD","○","東証STD","不動産業",700606000,100,"",""
2993,"長栄","","東証STD","○","東証STD","不動産業",714764000,100,"",""
2997,"ストレージ王","","東証GRT","○","東証GRT","不動産業",260928000,100,"",""
2998,"クリアル","","東証GRT","○","東証GRT","不動産業",1239052000,100,"",""
2999,"ホームポジション","","東証STD","○","東証STD","不動産業",389800000,100,"",""
3001,"片倉工業","","東証STD","○","東証STD","繊維製品",1817000000,100,"",""
3002,"グンゼ","","東証PRM","○","東証PRM","繊維製品",26071000000,100,"",""
3003,"ヒューリック","","東証PRM","○","東証PRM","不動産業",111609000000,100,"",""
3004,"神栄","","東証STD","○","東証STD","卸売業",2065000000,100,"",""
3007,"神戸生絲（上場廃止）","","東証1部","○","東証1部,大証1部","繊維製品","",1000,"",""
3009,"川島織物（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部","繊維製品","",1000,"",""
3010,"ポラリス・ホールディングス","","東証STD","○","東証STD","サービス業",12155000,100,"",""
3011,"バナーズ","","東証STD","○","東証STD","小売業",307370000,100,"",""
3020,"アプライド","","東証STD","○","東証STD","小売業",381000000,100,"",""
3021,"パシフィックネット","","東証STD","○","東証STD","サービス業",484004000,100,"",""
3023,"ラサ商事","","東証STD","○","東証STD","卸売業",2076000000,100,"",""
3024,"クリエイト","","東証STD","○","東証STD","卸売業",646494000,100,"",""
3028,"アルペン","","東証PRM","○","東証PRM","小売業",15163000000,100,"",""
3030,"ハブ","","東証STD","○","東証STD","小売業",100000000,100,"",""
3031,"ラクーンホールディングス","","東証PRM","○","東証PRM","情報・通信業",1860286000,100,"",""
3032,"ゴルフドゥ（上場廃止）","","名証NXT","○","名証NXT","小売業",515838000,100,"",""
3034,"クオールホールディングス","","東証PRM","○","東証PRM","小売業",5786000000,100,"",""
3035,"ケイティケイ","","東証STD","○","東証STD","卸売業",294675000,100,"",""
3036,"アルコニックス","","東証PRM","○","東証PRM","卸売業",5810000000,100,"",""
3038,"神戸物産","","東証PRM","○","東証PRM","卸売業",500000000,100,"",""
3040,"ソリトンシステムズ","","東証PRM","○","東証PRM","情報・通信業",1326000000,100,"",""
3041,"ビューティカダンホールディングス","","東証STD","○","東証STD","卸売業",213240000,100,"",""
3042,"セキュアヴェイル","","東証GRT","○","東証GRT","情報・通信業",627580000,100,"",""
3045,"カワサキ","","東証STD","○","東証STD","卸売業",4300000,100,"",""
3046,"ジンズホールディングス","","東証PRM","○","東証PRM","小売業",3202000000,100,"",""
3047,"ＴＲＵＣＫＯＮＥ（上場廃止）","","福証Ｑ","○","福証Ｑ","卸売業",97725000,100,"",""
3048,"ビックカメラ","","東証PRM","○","東証PRM","小売業",25929000000,100,"",""
3050,"ＤＣＭホールディングス","","東証PRM","○","東証PRM","小売業",19973000000,100,"",""
3053,"ペッパーフードサービス","","東証STD","○","東証STD","小売業",23000000,100,"",""
3054,"ハイパー","","東証STD","○","東証STD","卸売業",569449000,100,"",""
3055,"ほくやく竹山HD（上場廃止）","","札証","○","札証","卸売業",1000000000,100,"",""
3057,"ゼットン（上場廃止）","","名証NXT","○","名証NXT","小売業",90000000,100,"",""
3058,"三洋堂ホールディングス","","東証STD","○","東証STD","小売業",100000000,100,"",""
3059,"ヒラキ","","東証STD","○","東証STD","小売業",450452000,100,"",""
3063,"ジェイグループホールディングス","","東証GRT","○","東証GRT","小売業",58980000,100,"",""
3064,"ＭｏｎｏｔａＲＯ","","東証PRM","○","東証PRM","小売業",2039000000,100,"",""
3065,"ライフフーズ","","東証STD","○","東証STD","小売業",100000000,100,"",""
3066,"ＪＢイレブン（上場廃止）","","名証MN","○","名証MN","小売業",996553000,100,"",""
3067,"東京一番フーズ","","東証STD","○","東証STD","小売業",530450000,100,"",""
3068,"ＷＤＩ","","東証STD","○","東証STD","小売業",50000000,100,"",""
3069,"ＪＦＬＡホールディングス","","東証STD","○","東証STD","小売業",3633910000,100,"",""
3070,"ジェリービーンズグループ","アマガサ","東証GRT","○","東証GRT","卸売業",1338560000,100,"",""
3071,"ストリーム","","東証STD","○","東証STD","小売業",924429000,100,"",""
3073,"ＤＤグループ（上場廃止）","","東証PRM","○","東証PRM","小売業",100000000,100,"",""
3075,"銚子丸","","東証STD","○","東証STD","小売業",100000000,100,"",""
3076,"あい　ホールディングス","","東証PRM","○","東証PRM","卸売業",5000000000,100,"",""
3077,"ホリイフードサービス","","東証STD","○","東証STD","小売業",100000000,100,"",""
3079,"ディーブイエックス","","東証STD","○","東証STD","卸売業",344457000,100,"",""
3080,"ジェーソン","","東証STD","○","東証STD","小売業",320300000,100,"",""
3082,"きちりホールディングス","","東証STD","○","東証STD","小売業",381530000,100,"",""
3083,"スターシーズ","シーズメン","東証STD","○","東証STD","小売業",50000000,100,"",""
3086,"Ｊ．フロント　リテイリング","","東証PRM","○","東証PRM","小売業",31974000000,100,"",""
3087,"ドトール・日レスホールディングス","","東証PRM","○","東証PRM","小売業",1000000000,100,"",""
3088,"マツキヨココカラ＆カンパニー","","東証PRM","○","東証PRM","小売業",22051000000,100,"",""
3089,"テクノアルファ","","東証STD","○","東証STD","卸売業",100210000,100,"",""
3091,"ブロンコビリー","","東証PRM","○","東証PRM","小売業",2210667000,100,"",""
3092,"ＺＯＺＯ","","東証PRM","○","東証PRM","小売業",1359000000,100,"",""
3093,"トレジャー・ファクトリー","","東証PRM","○","東証PRM","小売業",898880000,100,"",""
3094,"スーパーバリュー（上場廃止）","","東証STD","○","東証STD","小売業",3513649000,100,"",""
3096,"オーシャンシステム","","東証STD","○","東証STD","小売業",801710000,100,"",""
3097,"物語コーポレーション","物語Corp.","東証PRM","○","東証PRM","小売業",2883000000,100,"",""
3099,"三越伊勢丹ホールディングス","","東証PRM","○","東証PRM","小売業",51276000000,100,"",""
3101,"東洋紡","","東証PRM","○","東証PRM","繊維製品",51730000000,100,"",""
3102,"カネボウ（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部,札幌,福岡","化学","",1000,"",""
3103,"ユニチカ","","東証PRM","○","東証PRM","繊維製品",100000000,100,"",""
3104,"富士紡ホールディングス","","東証PRM","○","東証PRM","繊維製品",6673000000,100,"",""
3105,"日清紡ホールディングス","","東証PRM","○","東証PRM","電気機器",27737000000,100,"",""
3106,"倉敷紡績","","東証PRM","○","東証PRM","繊維製品",22040000000,100,"",""
3107,"ダイワボウホールディングス","","東証PRM","○","東証PRM","卸売業",21696000000,100,"",""
3109,"シキボウ","","東証PRM","○","東証PRM","繊維製品",11336000000,100,"",""
3110,"日東紡績","","東証PRM","○","東証PRM","ガラス・土石",19699000000,100,"",""
3111,"オーミケンシ","","東証STD","○","東証STD","繊維製品",100000000,100,"",""
3113,"ＵＮＩＶＡ・Ｏａｋホールディングス","","東証STD","○","東証STD","証券業",4787920000,100,"",""
3114,"同興紡績（上場廃止）","","大証2部","○","大証2部,名証2部","繊維製品","",1000,"",""
3115,"テザック（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部","金属製品","",1000,"",""
3116,"トヨタ紡織","","東証PRM","○","東証PRM","輸送用機器",8400000000,100,"",""
3117,"興和紡績（上場廃止）","","大証1部","○","大証1部,名証1部","繊維製品","",1000,"",""
3121,"マーチャント・バンカーズ","","東証STD","○","東証STD","サービス業",3190167000,100,"",""
3123,"サイボー","","東証STD","○","東証STD","繊維製品",1402000000,100,"",""
3125,"新内外綿（上場廃止）","","大証2部","○","大証2部","繊維製品","",1000,"",""
3128,"テラボウ（上場廃止）","","大証2部","○","大証2部","繊維製品","",1000,"",""
3129,"ファブリカ　トヤマ（上場廃止）","","大証2部","○","大証2部","繊維製品","",1000,"",""
3131,"シンデン・ハイテックス","","東証STD","○","東証STD","卸売業",1438519000,100,"",""
3132,"マクニカホールディングス","","東証PRM","○","東証PRM","卸売業",14040000000,100,"",""
3133,"海帆","","東証GRT","○","東証GRT","小売業",1010280000,100,"",""
3134,"Ｈａｍｅｅ","","東証STD","○","東証STD","小売業",598262000,100,"",""
3135,"マーケットエンタープライズ","","東証PRM","○","東証PRM","小売業",331339000,100,"",""
3136,"エコノス（上場廃止）","","札証Ａ","○","札証Ａ","小売業",335903000,100,"",""
3137,"ファンデリー","","東証GRT","○","東証GRT","小売業",279864000,100,"",""
3138,"富士山マガジンサービス","","東証GRT","○","東証GRT","小売業",265198000,100,"",""
3139,"ラクト・ジャパン","","東証PRM","○","東証PRM","卸売業",1178475000,100,"",""
3140,"ＢＲＵＮＯ","","東証GRT","○","東証GRT","卸売業",1509000000,100,"",""
3141,"ウエルシアHD（上場廃止）","","東証PRM","○","東証PRM","小売業",7747000000,100,"",""
3143,"オーウイル","","東証STD","○","東証STD","卸売業",363387000,100,"",""
3148,"クリエイトＳＤホールディングス","","東証PRM","○","東証PRM","小売業",1000000000,100,"",""
3150,"グリムス","","東証PRM","○","東証PRM","卸売業",670011000,100,"",""
3151,"バイタルケーエスケー・ホールディングス","","東証PRM","○","東証PRM","卸売業",5000000000,100,"",""
3153,"八洲電機","","東証PRM","○","東証PRM","卸売業",1585000000,100,"",""
3154,"メディアスホールディングス","","東証PRM","○","東証PRM","卸売業",1344769000,100,"",""
3156,"レスター","レスターHD","東証PRM","○","東証PRM","卸売業",4383000000,100,"",""
3157,"ジオリーブグループ","","東証STD","○","東証STD","卸売業",850000000,100,"",""
3159,"丸善ＣＨＩホールディングス","","東証STD","○","東証STD","小売業",3000000000,100,"",""
3160,"大光","","東証STD","○","東証STD","卸売業",1482063000,100,"",""
3161,"アゼアス","","東証STD","○","東証STD","卸売業",887645000,100,"",""
3166,"ＯＣＨＩホールディングス","","東証STD","○","東証STD","卸売業",400000000,100,"",""
3167,"ＴＯＫＡＩホールディングス","","東証PRM","○","東証PRM","卸売業",14000000000,100,"",""
3168,"ＭＥＲＦ","黒谷","東証STD","○","東証STD","卸売業",1000000000,100,"",""
3169,"ミサワ","","東証STD","○","東証STD","小売業",380485000,100,"",""
3172,"ティーライフ","","東証STD","○","東証STD","小売業",361000000,100,"",""
3173,"Ｃｏｍｉｎｉｘ","","東証STD","○","東証STD","卸売業",350000000,100,"",""
3174,"ハピネス・アンド・ディ","","東証STD","○","東証STD","小売業",348699000,100,"",""
3175,"エー・ピーホールディングス","","東証STD","○","東証STD","小売業",50000000,100,"",""
3176,"三洋貿易","","東証PRM","○","東証PRM","卸売業",1006587000,100,"",""
3177,"ありがとうサービス","","東証STD","○","東証STD","小売業",547507000,100,"",""
3178,"チムニー","","東証STD","○","東証STD","小売業",100000000,100,"",""
3179,"シュッピン","","東証PRM","○","東証PRM","小売業",535262000,100,"",""
3180,"ビューティガレージ","","東証PRM","○","東証PRM","卸売業",768000000,100,"",""
3181,"買取王国","","東証STD","○","東証STD","小売業",37865000,100,"",""
3182,"オイシックス・ラ・大地","","東証PRM","○","東証PRM","小売業",3995000000,100,"",""
3183,"ウイン・パートナーズ","","東証PRM","○","東証PRM","卸売業",550000000,100,"",""
3184,"ＩＣＤＡホールディングス","","東証STD","○","東証STD","小売業",1161078000,100,"",""
3185,"夢展望","","東証GRT","○","東証GRT","小売業",746042000,100,"",""
3186,"ネクステージ","","東証PRM","○","東証PRM","小売業",8084000000,100,"",""
3187,"ミラタップ","サンワカンパニー","東証GRT","○","東証GRT","小売業",805481000,100,"",""
3189,"ＡＮＡＰホールディングス","ＡＮＡＰ","東証STD","○","東証STD","小売業",522865000,100,"",""
3190,"ホットマン","","東証STD","○","東証STD","小売業",1910645000,100,"",""
3191,"ジョイフル本田","","東証PRM","○","東証PRM","小売業",12000000000,100,"",""
3192,"白鳩","","東証STD","○","東証STD","小売業",1196654000,100,"",""
3193,"エターナルホスピタリティグループ","鳥貴族HD","東証PRM","○","東証PRM","小売業",1491829000,100,"",""
3195,"ジェネレーションパス","","東証GRT","○","東証GRT","小売業",627117000,100,"",""
3196,"ホットランドホールディングス","ホットランド","東証PRM","○","東証PRM","小売業",3313074000,100,"",""
3197,"すかいらーくホールディングス","","東証PRM","○","東証PRM","小売業",25134000000,100,"",""
3198,"ＳＦＰホールディングス","","東証PRM","○","東証PRM","小売業",49340000,100,"",""
3199,"綿半ホールディングス","","東証PRM","○","東証PRM","小売業",1051000000,100,"",""
3201,"日本毛織","","東証PRM","○","東証PRM","繊維製品",6465000000,100,"",""
3202,"ダイトウボウ","","東証STD","○","東証STD","繊維製品",100000000,100,"",""
3203,"トーア紡（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部,福岡","繊維製品","",1000,"",""
3204,"トーア紡コーポレーション","トーア紡Corp.","東証STD","○","東証STD","繊維製品",3940000000,100,"",""
3205,"ダイドーリミテッド","","東証STD","○","東証STD","繊維製品",6891000000,100,"",""
3206,"南海毛糸紡績（上場廃止）","","東証2部","○","東証2部,大証2部","繊維製品","",1000,"",""
3207,"中央毛織（上場廃止）","","東証2部","○","東証2部,大証2部,名証2部","繊維製品","",1000,"",""
3209,"カネヨウ（上場廃止）","","大証2部","○","大証2部","卸売業","",1000,"",""
3211,"太陽毛絲紡績（上場廃止）","","JASDAQ","○","店頭","繊維製品","",1000,"",""
3216,"御幸毛織（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部","繊維製品","",1000,"",""
3221,"ヨシックスホールディングス","","東証PRM","○","東証PRM","小売業",336084000,100,"",""
3222,"ユナイテッド・スーパーマーケット・ホールディングス","","東証STD","○","東証STD","小売業",10000000000,100,"",""
3223,"エスエルディー","","東証STD","○","東証STD","小売業",48876000,100,"",""
3224,"ゼネラル・オイスター","","東証GRT","○","東証GRT","小売業",1317183000,100,"",""
3231,"野村不動産ホールディングス","","東証PRM","○","東証PRM","不動産業",119054000000,100,"",""
3232,"三重交通グループホールディングス","","東証PRM","○","東証PRM","不動産業",3000000000,100,"",""
3236,"プロパスト","","東証STD","○","東証STD","不動産業",1750000000,100,"",""
3237,"イントランス","","東証GRT","○","東証GRT","不動産業",1133205000,100,"",""
3238,"セントラル総合開発","","東証STD","○","東証STD","不動産業",1352702000,100,"",""
3241,"ウィル","","東証STD","○","東証STD","不動産業",284000000,100,"",""
3242,"アーバネットコーポレーション","アーバネットCorp.","東証STD","○","東証STD","不動産業",2693701000,100,"",""
3244,"サムティ（上場廃止）","","東証PRM","○","東証PRM","不動産業",20725000000,100,"",""
3245,"ディア・ライフ","","東証PRM","○","東証PRM","不動産業",4125000000,100,"",""
3246,"コーセーアールイー","","東証STD","○","東証STD","不動産業",1562450000,100,"",""
3248,"アールエイジ","","東証STD","○","東証STD","不動産業",167208000,100,"",""
3252,"地主","","東証PRM","○","東証PRM","不動産業",3048000000,100,"",""
3254,"プレサンスCorp.（上場廃止）","","東証STD","○","東証STD","不動産業",7580000000,100,"",""
3260,"エスポア（上場廃止）","","名証NXT","○","名証NXT","不動産業",919075000,100,"",""
3261,"グランディーズ","","東証GRT","○","東証GRT","不動産業",268924000,100,"",""
3264,"アスコット（上場廃止）","","東証STD","○","東証STD","不動産業",10867000000,100,"",""
3266,"ファンドクリエーショングループ","","東証STD","○","東証STD","不動産業",1180000000,100,"",""
3267,"フィル・カンパニー","","東証STD","○","東証STD","建設業",789647000,100,"",""
3271,"ＴＨＥグローバル社","","東証STD","○","東証STD","不動産業",1924376000,100,"",""
3275,"ハウスコム（上場廃止）","","東証STD","○","東証STD","不動産業",424630000,100,"",""
3276,"ＪＰＭＣ","","東証PRM","○","東証PRM","不動産業",465803000,100,"",""
3277,"サンセイランディック","","東証STD","○","東証STD","不動産業",833723000,100,"",""
3280,"エストラスト","","東証STD","○","東証STD","不動産業",736000000,100,"",""
3284,"フージャースホールディングス","","東証PRM","○","東証PRM","不動産業",5000000000,100,"",""
3286,"トラストホールディングス","","東証GRT","○","東証GRT","不動産業",422996000,100,"",""
3288,"オープンハウスグループ","","東証PRM","○","東証PRM","不動産業",20110000000,100,"",""
3289,"東急不動産ホールディングス","","東証PRM","○","東証PRM","不動産業",77562000000,100,"",""
3291,"飯田グループホールディングス","","東証PRM","○","東証PRM","不動産業",10000000000,100,"",""
3293,"アズマハウス","","東証STD","○","東証STD","不動産業",596763000,100,"",""
3294,"イーグランド","","東証STD","○","東証STD","不動産業",836528000,100,"",""
3297,"東武住販","","東証STD","○","東証STD","不動産業",302889000,100,"",""
3299,"ムゲンエステート","","東証STD","○","東証STD","不動産業",2552000000,100,"",""
3300,"アンビション　ＤＸ　ホールディングス","","東証GRT","○","東証GRT","不動産業",401508000,100,"",""
3302,"帝国繊維","","東証PRM","○","東証PRM","繊維製品",1582867000,100,"",""
3304,"トスコ（上場廃止）","","東証2部","○","東証2部,大証2部","繊維製品","",1000,"",""
3306,"日本製麻","","東証STD","○","東証STD","卸売業",100000000,100,"",""
3315,"日本コークス工業","","東証PRM","○","東証PRM","石油・石炭製",7000000000,100,"",""
3317,"フライングガーデン","","東証STD","○","東証STD","小売業",579900000,100,"",""
3319,"ゴルフダイジェストオンライン（上場廃止）","","東証PRM","○","東証PRM","小売業",1458953000,100,"",""
3320,"クロスプラス","","東証STD","○","東証STD","卸売業",1944000000,100,"",""
3321,"ミタチ産業","","東証STD","○","東証STD","卸売業",840800000,100,"",""
3322,"アルファグループ（上場廃止）","","東証STD","○","東証STD","卸売業",728734000,100,"",""
3323,"レカム","","東証STD","○","東証STD","卸売業",2447952000,100,"",""
3326,"ランシステム","","東証STD","○","東証STD","サービス業",100000000,100,"",""
3328,"ＢＥＥＮＯＳ（上場廃止）","","東証PRM","○","東証PRM","小売業",2775000000,100,"",""
3329,"東和フードサービス","","東証STD","○","東証STD","小売業",50000000,100,"",""
3333,"あさひ","","東証PRM","○","東証PRM","小売業",2061356000,100,"",""
3341,"日本調剤（上場廃止）","","東証PRM","○","東証PRM","小売業",3953000000,100,"",""
3346,"ヒロタグループHD（上場廃止）","","名証NXT","○","名証NXT","小売業",100000000,100,"",""
3347,"トラスト（上場廃止）","","東証STD","○","東証STD","小売業",1349000000,100,"",""
3349,"コスモス薬品","","東証PRM","○","東証PRM","小売業",4178000000,100,"",""
3350,"メタプラネット","","東証STD","○","東証STD","卸売業",3096887000,100,"",""
3352,"バッファロー","","東証STD","○","東証STD","小売業",653084000,100,"",""
3353,"メディカル一光グループ","","東証STD","○","東証STD","小売業",917000000,100,"",""
3355,"クリヤマホールディングス","","東証STD","○","東証STD","卸売業",783716000,100,"",""
3358,"Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ","ワイエスフード","東証STD","○","東証STD","小売業",1356453000,100,"",""
3359,"ｃｏｔｔａ","","東証GRT","○","東証GRT","卸売業",665119000,100,"",""
3360,"シップヘルスケアホールディングス","","東証PRM","○","東証PRM","卸売業",15553000000,100,"",""
3361,"トーエル","","東証STD","○","東証STD","小売業",852699000,100,"",""
3370,"フジタコーポレーション","フジタCorp.","東証STD","○","東証STD","小売業",889985000,100,"",""
3371,"ソフトクリエイトホールディングス","","東証PRM","○","東証PRM","情報・通信業",854101000,100,"",""
3372,"関門海","","東証STD","○","東証STD","小売業",10000000,100,"",""
3374,"内外テック","","東証STD","○","東証STD","卸売業",1856618000,100,"",""
3375,"ＺＯＡ","","東証STD","○","東証STD","小売業",331986000,100,"",""
3377,"バイク王＆カンパニー","","東証STD","○","東証STD","卸売業",590254000,100,"",""
3382,"セブン＆アイ・ホールディングス","","東証PRM","○","東証PRM","小売業",50000000000,100,"",""
3384,"アークコア（上場廃止）","","名証NXT","○","名証NXT","卸売業",232825000,100,"",""
3386,"コスモ・バイオ","","東証STD","○","東証STD","卸売業",918000000,100,"",""
3387,"クリエイト・レストランツ・ホールディングス","","東証PRM","○","東証PRM","小売業",50000000,100,"",""
3388,"明治電機工業","","東証PRM","○","東証PRM","卸売業",1624866000,100,"",""
3391,"ツルハホールディングス","","東証PRM","○","東証PRM","小売業",11433000000,100,"",""
3392,"デリカフーズホールディングス","","東証STD","○","東証STD","卸売業",1772363000,100,"",""
3393,"スターティアホールディングス","","東証PRM","○","東証PRM","卸売業",824315000,100,"",""
3395,"サンマルクホールディングス","","東証PRM","○","東証PRM","小売業",1731177000,100,"",""
3396,"フェリシモ","","東証STD","○","東証STD","小売業",1868000000,100,"",""
3397,"トリドールホールディングス","","東証PRM","○","東証PRM","小売業",4693000000,100,"",""
3399,"丸千代山岡家","","東証STD","○","東証STD","小売業",325832000,100,"",""
3401,"帝人","","東証PRM","○","東証PRM","繊維製品",71833000000,100,"",""
3402,"東レ","","東証PRM","○","東証PRM","繊維製品",147873000000,100,"",""
3403,"東邦テナックス（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部,札幌,福岡","繊維製品","",1000,"",""
3404,"三菱レイヨン（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部,札幌,福岡","繊維製品","",1000,"",""
3405,"クラレ","","東証PRM","○","東証PRM","化学",88955000000,100,"",""
