"日付","始値","高値","安値","終値","前日比","出来高","売残","買残"
1996/04/23,2410,2420,2310,2370,,942000,,
1996/04/24,2360,2360,2300,2300,,86000,,
1996/04/25,2310,2370,2300,2340,,49000,,
1996/04/26,2350,2490,2350,2470,,157000,,
1996/04/30,2430,2450,2400,2400,,21000,,
1996/05/01,2420,2440,2390,2390,,17000,,
1996/05/02,2410,2410,2370,2380,,9000,,
1996/05/07,2380,2380,2350,2350,,3000,,
1996/05/08,2350,2350,2310,2340,,6000,,
1996/05/10,2360,2360,2340,2350,,8000,,
1996/05/13,2350,2350,2330,2350,,9000,,
1996/05/14,2330,2350,2310,2340,,20000,,
1996/05/15,2340,2340,2340,2340,,6000,,
1996/05/16,2350,2370,2350,2370,,10000,,
1996/05/17,2370,2370,2340,2340,,7000,,
1996/05/20,2340,2340,2340,2340,,4000,,
1996/05/21,2360,2370,2340,2360,,13000,,
1996/05/22,2360,2360,2360,2360,,4000,,
1996/05/23,2350,2350,2330,2330,,16000,,
1996/05/24,2250,2300,2210,2210,,4000,,
1996/05/27,2230,2230,2200,2200,,2000,,
1996/05/28,2150,2150,2140,2140,,5000,,
1996/05/29,2140,2140,2140,2140,,2000,,
1996/05/30,2150,2150,2150,2150,,6000,,
1996/05/31,2150,2150,2090,2090,,7000,,
1996/06/03,2010,2010,1980,1980,,7000,,
1996/06/04,1980,1980,1980,1980,,3000,,
1996/06/05,2000,2020,2000,2010,,5000,,
1996/06/07,2000,2000,2000,2000,,5000,,
1996/06/10,2030,2030,2030,2030,,5000,,
1996/06/11,2010,2010,2000,2000,,2000,,
1996/06/13,2030,2050,2000,2000,,3000,,
1996/06/14,2030,2040,2030,2040,,2000,,
1996/06/17,2020,2150,2020,2120,,47000,,
1996/06/18,2120,2120,2110,2110,,3000,,
1996/06/19,2090,2090,2050,2080,,29000,,
1996/06/20,2090,2100,2060,2100,,8000,,
1996/06/21,2110,2110,2080,2080,,3000,,
1996/06/24,2100,2100,2080,2080,,5000,,
1996/06/25,2070,2070,2050,2050,,5000,,
1996/06/26,2050,2050,2030,2030,,4000,,
1996/06/27,2100,2100,2080,2080,,2000,,
1996/06/28,2080,2080,2060,2060,,4000,,
1996/07/01,2080,2100,2080,2100,,4000,,
1996/07/02,2130,2130,2110,2120,,29000,,
1996/07/03,2160,2160,2120,2140,,18000,,
1996/07/04,2140,2190,2120,2190,,11000,,
1996/07/05,2190,2220,2190,2220,,11000,,
1996/07/08,2200,2200,2150,2150,,13000,,
1996/07/09,2190,2190,2150,2150,,8000,,
1996/07/10,2160,2160,2150,2150,,7000,,
1996/07/11,2150,2150,2150,2150,,7000,,
1996/07/12,2140,2140,2140,2140,,8000,,
1996/07/15,2150,2150,2150,2150,,1000,,
1996/07/16,2170,2180,2150,2150,,8000,,
1996/07/17,2150,2150,2100,2100,,5000,,
1996/07/18,2110,2120,2110,2120,,3000,,
1996/07/19,2130,2160,2130,2160,,6000,,
1996/07/22,2180,2180,2180,2180,,1000,,
1996/07/23,2130,2140,2130,2140,,2000,,
1996/07/25,2150,2190,2150,2190,,2000,,
1996/07/26,2150,2150,2150,2150,,3000,,
1996/07/29,2190,2190,2150,2150,,7000,,
1996/07/30,2150,2150,2150,2150,,2000,,
1996/07/31,2170,2190,2150,2150,,5000,,
1996/08/01,2150,2190,2150,2170,,17000,,
1996/08/02,2180,2220,2170,2170,,13000,,
1996/08/05,2180,2200,2180,2200,,11000,,
1996/08/06,2200,2210,2200,2210,,15000,,
1996/08/07,2200,2210,2180,2180,,16000,,
1996/08/08,2180,2180,2180,2180,,3000,,
1996/08/09,2190,2190,2190,2190,,8000,,
1996/08/12,2190,2190,2190,2190,,15000,,
1996/08/13,2190,2190,2100,2100,,18000,,
1996/08/15,2100,2100,2100,2100,,1000,,
1996/08/19,2050,2050,2050,2050,,2000,,
1996/08/20,2050,2100,2050,2080,,7000,,
1996/08/21,2080,2080,2080,2080,,1000,,
1996/08/22,2160,2160,2120,2120,,2000,,
1996/08/23,2080,2110,2050,2050,,10000,,
1996/08/26,2070,2070,2050,2070,,10000,,
1996/08/27,1780,1780,1780,1780,,1000,,
1996/08/28,1800,1800,1790,1790,,4000,,
1996/08/29,1750,1780,1700,1700,,3000,,
1996/08/30,1730,1730,1730,1730,,4000,,
1996/09/02,1780,1780,1730,1730,,4000,,
1996/09/03,1730,1730,1730,1730,,1000,,
1996/09/04,1730,1730,1730,1730,,2000,,
1996/09/05,1730,1730,1730,1730,,2000,,
1996/09/06,1720,1720,1700,1700,,3000,,
1996/09/11,1670,1670,1670,1670,,2000,,
1996/09/12,1610,1610,1600,1600,,2000,,
1996/09/13,1600,1620,1590,1590,,20000,,
1996/09/17,1590,1610,1590,1590,,9000,,
1996/09/18,1600,1600,1590,1590,,11000,,
1996/09/20,1590,1590,1590,1590,,2000,,
1996/09/24,1590,1590,1590,1590,,2000,,
1996/09/25,1550,1550,1500,1500,,2000,,
1996/09/26,1480,1520,1480,1520,,4000,,
1996/09/27,1500,1500,1500,1500,,1000,,
1996/09/30,1510,1510,1510,1510,,1000,,
1996/10/01,1470,1480,1470,1480,,3000,,
1996/10/02,1480,1480,1450,1450,,5000,,
1996/10/03,1440,1450,1440,1450,,6000,,
1996/10/04,1450,1450,1450,1450,,2000,,
1996/10/07,1450,1450,1450,1450,,3000,,
1996/10/14,1460,1460,1460,1460,,2000,,
1996/10/15,1550,1550,1550,1550,,2000,,
1996/10/16,1580,1580,1580,1580,,5000,,
1996/10/17,1550,1550,1550,1550,,2000,,
1996/10/21,1550,1550,1550,1550,,1000,,
1996/10/22,1540,1540,1540,1540,,2000,,
1996/10/24,1450,1450,1450,1450,,3000,,
1996/10/29,1450,1450,1450,1450,,3000,,
1996/10/30,1450,1500,1450,1500,,9000,,
1996/10/31,1500,1500,1500,1500,,2000,,
1996/11/01,1500,1500,1500,1500,,7000,,
1996/11/05,1500,1500,1500,1500,,2000,,
1996/11/06,1550,1550,1550,1550,,10000,,
1996/11/07,1500,1500,1500,1500,,1000,,
1996/11/08,1500,1500,1500,1500,,2000,,
1996/11/11,1500,1500,1500,1500,,1000,,
1996/11/14,1500,1500,1490,1490,,3000,,
1996/11/15,1500,1550,1500,1550,,11000,,
1996/11/19,1550,1550,1550,1550,,4000,,
1996/11/20,1600,1600,1570,1570,,3000,,
1996/11/21,1570,1570,1570,1570,,1000,,
1996/11/22,1570,1570,1570,1570,,3000,,
1996/11/25,1570,1580,1570,1570,,5000,,
1996/11/26,1570,1570,1570,1570,,4000,,
1996/11/27,1590,1590,1570,1570,,8000,,
1996/11/28,1570,1570,1570,1570,,2000,,
1996/11/29,1630,1630,1630,1630,,3000,,
1996/12/02,1660,1660,1660,1660,,2000,,
1996/12/03,1600,1600,1600,1600,,1000,,
1996/12/04,1590,1590,1590,1590,,1000,,
1996/12/05,1590,1620,1590,1620,,4000,,
1996/12/06,1620,1620,1620,1620,,1000,,
1996/12/09,1620,1630,1610,1630,,4000,,
1996/12/10,1640,1640,1620,1620,,3000,,
1996/12/12,1620,1620,1620,1620,,3000,,
1996/12/13,1620,1620,1620,1620,,2000,,
1996/12/16,1620,1650,1620,1650,,4000,,
1996/12/19,1650,1670,1650,1670,,10000,,
1996/12/20,1670,1670,1640,1640,,5000,,
1996/12/25,1580,1580,1580,1580,,1000,,
1996/12/26,1580,1580,1570,1570,,7000,,
1996/12/30,1570,1570,1570,1570,,1000,,
1997/01/07,1660,1660,1660,1660,,1000,,
1997/01/09,1600,1600,1590,1590,,3000,,
1997/01/10,1580,1580,1520,1520,,3000,,
1997/01/13,1550,1550,1500,1500,,5000,,
1997/01/16,1500,1500,1500,1500,,3000,,
1997/01/20,1590,1590,1590,1590,,1000,,
1997/01/21,1510,1530,1510,1530,,2000,,
1997/01/22,1530,1530,1530,1530,,1000,,
1997/01/29,1530,1530,1530,1530,,1000,,
1997/02/13,1530,1530,1530,1530,,5000,,
1997/02/17,1530,1530,1530,1530,,3000,,
1997/02/18,1530,1530,1530,1530,,5000,,
1997/02/19,1530,1530,1530,1530,,7000,,
1997/02/20,1520,1520,1520,1520,,2000,,
1997/02/21,1520,1520,1520,1520,,1000,,
1997/02/26,1470,1470,1450,1450,,3000,,
1997/02/28,1430,1430,1430,1430,,3000,,
1997/03/04,1370,1430,1370,1430,,7000,,
1997/03/10,1400,1400,1400,1400,,2000,,
1997/03/13,1380,1380,1380,1380,,1000,,
1997/03/17,1340,1340,1300,1300,,2000,,
1997/03/19,1270,1270,1270,1270,,2000,,
1997/03/21,1240,1240,1220,1220,,3000,,
1997/03/24,1200,1200,1200,1200,,2000,,
1997/03/28,1150,1200,1150,1200,,2000,,
1997/04/01,1220,1240,1220,1240,,4000,,
1997/04/04,1260,1260,1250,1250,,2000,,
1997/04/08,1250,1250,1230,1230,,2000,,
1997/04/10,1200,1200,1130,1130,,3000,,
1997/04/11,1130,1130,1090,1090,,2000,,
1997/04/14,1090,1090,1090,1090,,3000,,
1997/04/18,1090,1090,1090,1090,,2000,,
1997/04/21,1090,1090,1050,1050,,7000,,
1997/04/22,1050,1060,1050,1060,,2000,,
1997/04/23,1090,1090,1090,1090,,8000,,
1997/04/24,1090,1090,1080,1080,,3000,,
1997/05/01,1090,1090,1090,1090,,3000,,
1997/05/12,1180,1200,1180,1200,,2000,,
1997/05/13,1260,1260,1260,1260,,1000,,
1997/05/15,1250,1250,1250,1250,,1000,,
1997/05/16,1250,1260,1250,1260,,3000,,
1997/05/19,1260,1260,1260,1260,,2000,,
1997/05/20,1290,1290,1290,1290,,2000,,
1997/05/21,1260,1260,1260,1260,,2000,,
1997/05/22,1260,1260,1260,1260,,2000,,
1997/05/23,1250,1250,1250,1250,,1000,,
1997/05/26,1230,1230,1230,1230,,1000,,
1997/05/29,1230,1230,1230,1230,,1000,,
1997/06/02,1240,1240,1230,1230,,2000,,
1997/06/03,1270,1270,1270,1270,,1000,,
1997/06/05,1300,1300,1270,1270,,3000,,
1997/06/06,1250,1250,1250,1250,,1000,,
1997/06/10,1250,1250,1250,1250,,1000,,
1997/06/12,1250,1250,1250,1250,,1000,,
1997/06/18,1250,1250,1250,1250,,1000,,
1997/06/19,1250,1260,1250,1260,,2000,,
