"日付","始値","高値","安値","終値","前日比","出来高","売残","買残"
2003/02/17,350,354,335,341.5,,706,,
2003/02/18,341.5,350,336,350,,258,,
2003/02/19,350,365,350,364,,134,,
2003/02/20,364,370,364,364,,56,,
2003/02/21,364,365,344,344,,88,,
2003/02/24,344.5,344.5,344,344,,8,,
2003/02/25,344,344,344,344,,20,,
2003/02/26,315,315,300,300,,6,,
2003/02/27,269,280,269,280,,22,,
2003/02/28,260,260,260,260,,41,,
2003/03/03,260,260,235,235,,18,,
2003/03/04,234.9,234.9,230,230,,4,,
2003/03/05,230,230,230,230,,1,,
2003/03/06,236,237,236,237,,2,,
2003/03/07,237,237,237,237,,7,,
2003/03/10,237,237,237,237,,2,,
2003/03/12,236,236,236,236,,2,,
2003/03/13,236,236,236,236,,1,,
2003/03/14,215,215,215,215,,1,,
2003/03/17,215,215,200,200,,6,,
2003/03/18,204,225,204,225,,6,,
2003/03/19,225,225,225,225,,1,,
2003/03/20,226,226,226,226,,8,,
2003/03/24,230,230,230,230,,5,,
2003/03/25,230,230,230,230,,1,,
2003/03/28,230,230,230,230,,1,,
2003/03/31,220,220,220,220,,3,,
2003/04/02,220,230,220,230,,20,,
2003/04/04,220,220,220,220,,10,,
2003/04/08,220,220,200,200,,9,,
2003/04/09,200,200,200,200,,8,,
2003/04/14,200,200,200,200,,16,,
2003/04/15,200,200,200,200,,1,,
2003/04/16,205,205,200,200,,3,,
2003/04/17,200,200,200,200,,3,,
2003/04/21,200,200,200,200,,12,,
2003/04/22,206,206,205,205,,8,,
2003/04/23,214,214,214,214,,3,,
2003/04/25,226,241,226,230,,6,,
2003/04/28,233,233,233,233,,1,,
2003/05/01,233,233,233,233,,1,,
2003/05/06,236,243,236,243,,3,,
2003/05/09,243,243,243,243,,1,,
2003/05/12,243,243,243,243,,1,,
2003/05/15,242,242,242,242,,1,,
2003/05/16,242,242,242,242,,1,,
2003/05/19,226,226,226,226,,2,,
2003/05/20,209,209,206,206,,20,,
2003/05/21,201,201,200,200,,17,,
2003/05/22,200,200,200,200,,3,,
2003/05/23,203,210.1,203,210.1,,3,,
2003/05/26,210.2,210.2,210.1,210.1,,7,,
2003/05/27,210,210,210,210,,1,,
2003/05/28,210,210,210,210,,6,,
2003/06/02,201,210.2,201,210.2,,52,,
