"日付","始値","高値","安値","終値","前日比","出来高","売残","買残"
2021/10/01,2074,2145,2066,2066,,61000,,
2021/10/04,2145,2145,2050,2083,,47600,,
2021/10/05,2110,2131,2091,2105,,67900,,
2021/10/06,2105,2140,2100,2100,,53100,,
2021/10/07,2102,2109,2071,2084,,46500,,
2021/10/08,2084,2110,2080,2081,,48600,,
2021/10/11,2081,2122,2078,2096,,41500,,
2021/10/12,2081,2081,2035,2053,,52700,,
2021/10/13,2045,2051,2020,2023,,47300,,
2021/10/14,2020,2022,2000,2019,,53200,,
2021/10/15,2028,2029,1982,1993,,62800,,
2021/10/18,1998,2040,1985,2040,,49600,,
2021/10/19,2035,2039,2014,2031,,30200,,
2021/10/20,2017,2054,2014,2039,,51800,,
2021/10/21,2027,2052,2015,2015,,37700,,
2021/10/22,2022,2022,2000,2005,,34000,,
2021/10/25,1998,2002,1978,1987,,55100,,
2021/10/26,1988,1999,1972,1983,,51100,,
2021/10/27,1977,1979,1957,1979,,48400,,
2021/10/28,1956,1962,1923,1923,,85600,,
2021/10/29,1930,2018,1908,1985,,106300,,
2021/11/01,2020,2114,2020,2104,,100300,,
2021/11/02,2104,2200,2090,2105,,160800,,
2021/11/04,2111,2180,2111,2141,,136100,,
2021/11/05,2127,2165,2116,2135,,67100,,
2021/11/08,2135,2144,2109,2110,,40200,,
2021/11/09,2130,2180,2058,2060,,66100,,
2021/11/10,2060,2060,2003,2005,,38700,,
2021/11/11,2006,2022,1995,2007,,44300,,
2021/11/12,2007,2055,2007,2026,,70500,,
2021/11/15,2026,2037,2011,2030,,37300,,
2021/11/16,2049,2087,2042,2043,,77200,,
2021/11/17,2044,2094,1970,1970,,95500,,
2021/11/18,1970,1993,1943,1981,,90400,,
2021/11/19,1981,2021,1977,1981,,80000,,
2021/11/22,2010,2019,1969,1986,,95000,,
2021/11/24,1995,2068,1995,2056,,93700,,
2021/11/25,2056,2140,2056,2100,,160300,,
2021/11/26,2097,2172,2095,2110,,104200,,
2021/11/29,2066,2118,2048,2090,,96800,,
2021/11/30,2110,2132,2101,2114,,128800,,
2021/12/01,2097,2166,2090,2148,,142000,,
2021/12/02,2140,2185,2122,2166,,135500,,
2021/12/03,2173,2249,2173,2246,,147200,,
2021/12/06,2287,2319,2242,2300,,162400,,
2021/12/07,2300,2342,2299,2342,,147000,,
2021/12/08,2344,2361,2311,2319,,90600,,
2021/12/09,2319,2343,2281,2315,,88700,,
2021/12/10,2318,2357,2314,2345,,78000,,
2021/12/13,2361,2364,2300,2352,,76300,,
2021/12/14,2340,2362,2331,2349,,44600,,
2021/12/15,2355,2359,2336,2344,,61100,,
2021/12/16,2349,2376,2338,2375,,78300,,
2021/12/17,2377,2436,2375,2435,,98100,,
2021/12/20,2435,2469,2402,2436,,122700,,
2021/12/21,2436,2487,2405,2455,,142300,,
2021/12/22,2481,2514,2452,2499,,166100,,
2021/12/23,2530,2542,2510,2540,,71600,,
2021/12/24,2549,2549,2487,2489,,62000,,
2021/12/27,2475,2519,2435,2509,,106500,,
2021/12/28,2509,2548,2509,2526,,89200,,
2021/12/29,2533,2574,2533,2574,,86100,,
2021/12/30,2571,2599,2550,2550,,70300,,
2022/01/04,2600,2608,2583,2595,,77700,,
