"日付","始値","高値","安値","終値","前日比","出来高","売残","買残"
2004/11/26,875,875,875,875,,1673,,
2004/11/29,1000,1000,1000,1000,,547,,
2004/11/30,1125,1125,1125,1125,,303,,
2004/12/01,1250,1250,1250,1250,,335,,
2004/12/02,1262.5,1375,1145,1185,,5952,,
2004/12/03,1235,1237.5,1120,1152.5,,1355,,
2004/12/06,1102.5,1112.5,1035,1035,,678,,
2004/12/07,1010,1110,975,1055,,1082,,
2004/12/08,1042.5,1065,1010,1020,,307,,
2004/12/09,1045,1045,965,982.5,,319,,
2004/12/10,962.5,997.5,925,925,,200,,
2004/12/13,937.5,1050,937.5,1050,,326,,
2004/12/14,1112.5,1175,1017.5,1017.5,,2262,,
2004/12/15,1055,1137.5,1007.5,1027.5,,833,,
2004/12/16,997.5,1087.5,997.5,1035,,648,,
2004/12/17,1035,1047.5,990,997.5,,278,,
2004/12/20,1000,1050,962.5,1000,,535,,
2004/12/21,1007.5,1007.5,955,967.5,,235,,
2004/12/22,967.5,980,930,935,,244,,
2004/12/24,947.5,947.5,910,922.5,,190,,
2004/12/27,947.5,947.5,910,920,,120,,
2004/12/28,920,955,912.5,947.5,,114,,
2004/12/29,962.5,967.5,935,942.5,,160,,
2004/12/30,950,950,940,942.5,,31,,
2005/01/04,952.5,1025,952.5,987.5,,277,,
2005/01/05,997.5,1012.5,965,995,,289,,
2005/01/06,1007.5,1087.5,987.5,1087.5,,682,,
2005/01/07,1100,1112.5,1012.5,1052.5,,343,,
2005/01/11,1077.5,1140,1065,1090,,445,,
2005/01/12,1102.5,1117.5,1057.5,1100,,187,,
2005/01/13,1087.5,1225,1072.5,1225,,1131,,
2005/01/14,1300,1350,1237.5,1262.5,,1920,,
2005/01/17,1280,1297.5,1200,1220,,347,,
2005/01/18,1225,1225,1170,1192.5,,239,,
2005/01/19,1192.5,1315,1162.5,1200,,626,,
2005/01/20,1112.5,1142.5,1107.5,1117.5,,333,,
2005/01/21,1087.5,1112.5,1082.5,1095,,172,,
2005/01/24,1095,1132.5,1092.5,1122.5,,169,,
2005/01/25,1135,1187.5,1125,1155,,224,,
2005/01/26,1180,1180,1117.5,1135,,151,,
2005/01/27,1147.5,1147.5,1067.5,1085,,105,,
2005/01/28,1065,1107.5,1065,1072.5,,85,,
2005/01/31,1072.5,1075,1057.5,1057.5,,46,,
2005/02/01,1052.5,1057.5,1020,1042.5,,125,,
2005/02/02,1052.5,1085,1050,1052.5,,68,,
2005/02/03,1055,1087.5,1047.5,1075,,68,,
2005/02/04,1090,1150,1085,1125,,200,,
2005/02/07,1137.5,1137.5,1087.5,1100,,60,,
2005/02/08,1092.5,1092.5,1025,1067.5,,42,,
2005/02/09,1072.5,1072.5,1037.5,1055,,28,,
2005/02/10,1045,1045,1030,1045,,39,,
2005/02/14,1037.5,1072.5,1037.5,1045,,25,,
2005/02/15,1037.5,1050,1032.5,1037.5,,20,,
2005/02/16,1037.5,1050,1030,1030,,24,,
2005/02/17,1030,1030,1012.5,1025,,60,,
2005/02/18,1025,1030,1015,1015,,32,,
2005/02/21,1020,1037.5,1020,1025,,15,,
2005/02/22,1027.5,1032.5,1027.5,1030,,13,,
2005/02/23,1027.5,1027.5,1025,1025,,17,,
2005/02/24,1030,1055,1025,1035,,95,,
2005/02/25,1047.5,1047.5,1030,1032.5,,25,,
2005/02/28,1052.5,1062.5,1050,1052.5,,46,,
2005/03/01,1050,1050,1020,1027.5,,51,,
2005/03/02,1040,1042.5,1030,1042.5,,26,,
2005/03/03,1042.5,1042.5,1032.5,1032.5,,30,,
2005/03/04,1030,1032.5,1007.5,1025,,44,,
2005/03/07,1025,1025,1012.5,1012.5,,42,,
2005/03/08,1012.5,1022.5,1005,1022.5,,38,,
2005/03/09,1047.5,1110,1040,1085,,341,,
2005/03/10,1072.5,1080,1047.5,1055,,90,,
2005/03/11,1052.5,1052.5,1025,1042.5,,42,,
2005/03/14,1067.5,1067.5,1030,1032.5,,29,,
2005/03/15,1027.5,1027.5,1012.5,1012.5,,55,,
2005/03/16,1012.5,1037.5,1010,1012.5,,40,,
2005/03/17,1005,1012.5,1005,1010,,29,,
2005/03/18,1007.5,1017.5,1005,1005,,38,,
2005/03/22,1012.5,1012.5,990,997.5,,47,,
2005/03/23,992.5,1000,975,980,,66,,
2005/03/24,977.5,980,970,980,,17,,
2005/03/25,982.5,982.5,977.5,982.5,,20,,
2005/03/28,1012.5,1012.5,1007.5,1010,,58,,
